fecha,Energia
2007-04-19,368890
2007-04-20,366920
2007-04-21,330006
2007-04-22,306697
2007-04-23,343368
2007-04-24,352561
2007-04-25,358497
2007-04-26,360199
2007-04-27,350565
2007-04-28,324363
2007-04-29,304382
2007-04-30,348788
2007-05-01,372886
2007-05-02,371990
2007-05-03,357275
2007-05-04,356292
2007-05-05,326054
2007-05-06,304603
2007-05-07,347361
2007-05-08,363002
2007-05-09,374002
2007-05-10,389094
2007-05-11,391083
2007-05-12,354543
2007-05-13,312882
2007-05-14,345393
2007-05-15,378094
2007-05-16,374836
2007-05-17,352556
2007-05-18,353222
2007-05-19,327849
2007-05-20,309990
2007-05-21,353027
2007-05-22,382760
2007-05-23,399607
2007-05-24,409059
2007-05-25,406287
2007-05-26,358187
2007-05-27,339528
2007-05-28,338951
2007-05-29,393598
2007-05-30,426693
2007-05-31,434700
2007-06-01,426572
2007-06-02,396475
2007-06-03,355692
2007-06-04,379039
2007-06-05,376000
2007-06-06,368261
2007-06-07,401758
2007-06-08,457619
2007-06-09,376801
2007-06-10,340273
2007-06-11,383414
2007-06-12,406398
2007-06-13,422087
2007-06-14,424880
2007-06-15,411558
2007-06-16,380246
2007-06-17,379836
2007-06-18,448891
2007-06-19,462305
2007-06-20,416315
2007-06-21,412256
2007-06-22,407960
2007-06-23,355917
2007-06-24,338967
2007-06-25,409031
2007-06-26,462999
2007-06-27,473531
2007-06-28,451473
2007-06-29,409076
2007-06-30,363429
2007-07-01,342614
2007-07-02,360130
2007-07-03,377215
2007-07-04,361432
2007-07-05,386543
2007-07-06,406097
2007-07-07,392062
2007-07-08,397110
2007-07-09,463064
2007-07-10,471594
2007-07-11,439438
2007-07-12,406725
2007-07-13,390014
2007-07-14,366199
2007-07-15,374795
2007-07-16,410824
2007-07-17,431162
2007-07-18,434497
2007-07-19,443294
2007-07-20,403371
2007-07-21,354362
2007-07-22,335315
2007-07-23,379244
2007-07-24,390998
2007-07-25,388474
2007-07-26,401234
2007-07-27,417334
2007-07-28,391876
2007-07-29,384029
2007-07-30,434294
2007-07-31,452725
2007-08-01,467591
2007-08-02,477399
2007-08-03,477913
2007-08-04,438126
2007-08-05,396226
2007-08-06,451594
2007-08-07,495583
2007-08-08,512284
2007-08-09,509559
2007-08-10,488861
2007-08-11,436797
2007-08-12,406515
2007-08-13,453333
2007-08-14,422973
2007-08-15,432643
2007-08-16,466588
2007-08-17,453894
2007-08-18,377026
2007-08-19,351744
2007-08-20,420361
2007-08-21,435731
2007-08-22,450846
2007-08-23,489483
2007-08-24,492839
2007-08-25,446419
2007-08-26,392351
2007-08-27,421952
2007-08-28,451756
2007-08-29,475426
2007-08-30,462667
2007-08-31,411955
2007-09-01,361096
2007-09-02,348545
2007-09-03,365783
2007-09-04,422234
2007-09-05,450083
2007-09-06,459661
2007-09-07,461263
2007-09-08,423702
2007-09-09,386259
2007-09-10,416469
2007-09-11,411992
2007-09-12,379683
2007-09-13,377950
2007-09-14,384529
2007-09-15,336811
2007-09-16,310374
2007-09-17,351394
2007-09-18,372070
2007-09-19,389536
2007-09-20,402400
2007-09-21,407669
2007-09-22,382179
2007-09-23,356612
2007-09-24,403671
2007-09-25,441919
2007-09-26,433218
2007-09-27,401337
2007-09-28,376462
2007-09-29,331166
2007-09-30,315033
2007-10-01,360652
2007-10-02,377254
2007-10-03,385546
2007-10-04,395212
2007-10-05,416329
2007-10-06,394545
2007-10-07,379062
2007-10-08,422909
2007-10-09,411310
2007-10-10,368696
2007-10-11,359599
2007-10-12,359406
2007-10-13,333766
2007-10-14,311317
2007-10-15,350459
2007-10-16,365018
2007-10-17,362792
2007-10-18,373649
2007-10-19,372808
2007-10-20,327795
2007-10-21,313350
2007-10-22,353937
2007-10-23,371425
2007-10-24,369725
2007-10-25,369692
2007-10-26,362049
2007-10-27,331629
2007-10-28,315946
2007-10-29,371812
2007-10-30,387337
2007-10-31,381679
2007-11-01,366545
2007-11-02,381915
2007-11-03,360754
2007-11-04,330990
2007-11-05,379903
2007-11-06,387318
2007-11-07,405258
2007-11-08,414659
2007-11-09,397247
2007-11-10,371241
2007-11-11,371201
2007-11-12,374649
2007-11-13,375785
2007-11-14,374987
2007-11-15,394313
2007-11-16,421853
2007-11-17,391921
2007-11-18,361066
2007-11-19,389482
2007-11-20,375431
2007-11-21,367523
2007-11-22,330075
2007-11-23,354347
2007-11-24,386872
2007-11-25,371360
2007-11-26,394591
2007-11-27,403747
2007-11-28,433114
2007-11-29,422845
2007-11-30,438379
2007-12-01,415738
2007-12-02,388172
2007-12-03,423388
2007-12-04,468543
2007-12-05,469502
2007-12-06,476627
2007-12-07,470588
2007-12-08,410863
2007-12-09,384476
2007-12-10,403596
2007-12-11,406362
2007-12-12,399041
2007-12-13,420405
2007-12-14,426720
2007-12-15,425583
2007-12-16,416654
2007-12-17,477585
2007-12-18,486533
2007-12-19,446995
2007-12-20,453008
2007-12-21,433091
2007-12-22,393013
2007-12-23,366099
2007-12-24,398823
2007-12-25,363464
2007-12-26,381645
2007-12-27,402209
2007-12-28,410425
2007-12-29,376647
2007-12-30,386401
2007-12-31,389755
2008-01-01,386565
2008-01-02,481356
2008-01-03,507923
2008-01-04,497685
2008-01-05,433549
2008-01-06,371781
2008-01-07,377293
2008-01-08,381511
2008-01-09,379244
2008-01-10,421924
2008-01-11,409554
2008-01-12,389942
2008-01-13,386673
2008-01-14,438646
2008-01-15,471696
2008-01-16,479433
2008-01-17,458530
2008-01-18,444873
2008-01-19,439494
2008-01-20,474217
2008-01-21,509604
2008-01-22,485495
2008-01-23,473743
2008-01-24,491733
2008-01-25,521463
2008-01-26,455386
2008-01-27,411760
2008-01-28,450438
2008-01-29,429513
2008-01-30,450576
2008-01-31,489807
2008-02-01,456596
2008-02-02,421002
2008-02-03,394412
2008-02-04,410249
2008-02-05,395874
2008-02-06,391848
2008-02-07,421983
2008-02-08,431671
2008-02-09,393202
2008-02-10,403535
2008-02-11,496232
2008-02-12,488553
2008-02-13,464445
2008-02-14,480292
2008-02-15,446073
2008-02-16,402452
2008-02-17,374164
2008-02-18,402644
2008-02-19,466509
2008-02-20,475938
2008-02-21,487616
2008-02-22,463509
2008-02-23,416104
2008-02-24,413284
2008-02-25,436576
2008-02-26,440922
2008-02-27,474696
2008-02-28,488896
2008-02-29,473343
2008-03-01,405391
2008-03-02,384133
2008-03-03,382023
2008-03-04,400269
2008-03-05,425986
2008-03-06,431698
2008-03-07,430873
2008-03-08,428869
2008-03-09,409434
2008-03-10,425462
2008-03-11,418574
2008-03-12,416445
2008-03-13,401406
2008-03-14,384150
2008-03-15,368120
2008-03-16,362443
2008-03-17,413718
2008-03-18,412009
2008-03-19,392233
2008-03-20,407505
2008-03-21,394364
2008-03-22,361953
2008-03-23,364305
2008-03-24,406728
2008-03-25,431389
2008-03-26,391741
2008-03-27,384059
2008-03-28,387607
2008-03-29,376193
2008-03-30,362066
2008-03-31,384546
2008-04-01,371534
2008-04-02,379947
2008-04-03,391882
2008-04-04,391064
2008-04-05,350105
2008-04-06,331671
2008-04-07,358773
2008-04-08,368486
2008-04-09,362541
2008-04-10,366644
2008-04-11,362514
2008-04-12,333088
2008-04-13,339419
2008-04-14,392375
2008-04-15,399224
2008-04-16,385504
2008-04-17,370622
2008-04-18,359438
2008-04-19,327556
2008-04-20,315640
2008-04-21,351139
2008-04-22,360369
2008-04-23,359009
2008-04-24,361667
2008-04-25,364159
2008-04-26,334838
2008-04-27,307850
2008-04-28,346426
2008-04-29,373960
2008-04-30,379094
2008-05-01,358987
2008-05-02,357019
2008-05-03,329287
2008-05-04,307964
2008-05-05,345310
2008-05-06,359300
2008-05-07,363634
2008-05-08,366628
2008-05-09,360278
2008-05-10,327753
2008-05-11,310785
2008-05-12,355880
2008-05-13,366484
2008-05-14,358314
2008-05-15,359885
2008-05-16,360859
2008-05-17,330580
2008-05-18,306923
2008-05-19,347433
2008-05-20,359400
2008-05-21,359444
2008-05-22,362176
2008-05-23,354718
2008-05-24,317570
2008-05-25,304080
2008-05-26,311788
2008-05-27,367792
2008-05-28,361662
2008-05-29,363282
2008-05-30,372670
2008-05-31,367818
2008-06-01,344607
2008-06-02,371876
2008-06-03,386221
2008-06-04,392714
2008-06-05,427554
2008-06-06,467496
2008-06-07,429828
2008-06-08,414972
2008-06-09,472906
2008-06-10,454511
2008-06-11,424184
2008-06-12,445718
2008-06-13,458000
2008-06-14,397524
2008-06-15,367985
2008-06-16,405117
2008-06-17,388714
2008-06-18,371983
2008-06-19,374746
2008-06-20,385334
2008-06-21,372121
2008-06-22,346422
2008-06-23,378793
2008-06-24,393915
2008-06-25,405406
2008-06-26,433643
2008-06-27,437680
2008-06-28,405644
2008-06-29,363619
2008-06-30,367758
2008-07-01,364762
2008-07-02,380951
2008-07-03,390637
2008-07-04,341460
2008-07-05,331453
2008-07-06,353056
2008-07-07,422580
